name,phone,email,droneSerialNumber,lastViolation,lastSeen,closestPosition x,closestPosition y
Carrie King,+210547009985,carrie.king@example.com,SN-qpQ_EQmPwG,1672744797.544,1672744807.553,234481.56667843004,237382.69120892172,
Graciela Lang,+210018937884,graciela.lang@example.com,SN-9ZpWk8JPp9,1672744787.529,1672744795.539,303471.3960006544,292986.4344183814,
Eliza Yundt,+210269826580,eliza.yundt@example.com,SN-kbOpZxh4Lj,1672744813.558,1672744857.648,223871.32923110368,271854.23353354546,
Major Rohan,+210934671830,major.rohan@example.com,SN-VCKLXDOyCQ,1672744851.637,1672744861.66,194714.44344359066,237429.05738980486,
Dee Schoen,+210048111536,dee.schoen@example.com,SN-_p2gVtuyor,1672744819.569,1672744827.58,233206.62105242873,321765.9729879531,
Abner Cassin,+210746542040,abner.cassin@example.com,SN-JAYTV0tEL5,1672744829.583,1672744847.63,247055.7130185846,284250.98271158093,
Maymie Will,+210364006961,maymie.will@example.com,SN-CkOsPGToyJ,1672744849.636,1672744863.661,319886.34614826774,195269.50320273155,
Leopold Leuschke,+210763902725,leopold.leuschke@example.com,SN-J4EU2LgcZp,1672744885.688,1672744895.699,195844.54553345792,274828.48798807035,
Hyman Schmitt,+210980957233,hyman.schmitt@example.com,SN-fW1pGs1koG,1672744867.665,1672744891.694,305928.61538386415,275625.3748676004,
Jeramie Hudson,+210458371104,jeramie.hudson@example.com,SN-VzK1M1hKxc,1672744911.72,1672744923.74,292793.1208037978,290368.9562835625,
Zachary Torp,+210875176826,zachary.torp@example.com,SN-NrnHf2WjHc,1672744943.761,1672744959.78,237801.11559234196,239358.76516244008,
Broderick Sanford,+210320075515,broderick.sanford@example.com,SN-hoMCwURGgb,1672744937.756,1672744947.765,167752.91499113367,265876.3755460898,
Jadyn Lynch,+210423434195,jadyn.lynch@example.com,SN-nCPTUKXsHv,1672744963.785,1672744981.805,265998.61648933863,259071.02664112992,
Vida Russel,+210967821662,vida.russel@example.com,SN-VR9x0znUKE,1672744977.8,1672745011.84,307247.27675986284,281617.285504776,
Roy Raynor,+210964913871,roy.raynor@example.com,SN-AonvCCwg4O,1672744987.811,1672744995.823,276115.23163732426,271885.85619439563,
Jaqueline Wintheiser,+210558053308,jaqueline.wintheiser@example.com,SN-p5fNDGU1ss,1672745005.834,1672745055.897,291394.2701509062,289814.1182189294,
Johanna Hand,+210859637385,johanna.hand@example.com,SN-AaCJTLvi79,1672745025.86,1672745043.878,253401.693303839,244644.50043093823,
Riley D'Amore,+210481845546,riley.d'amore@example.com,SN-ciGjKwacWW,1672745061.905,1672745075.924,244720.96696648496,244537.9952443487,
Wava Boyer,+210905505014,wava.boyer@example.com,SN-YcrU0UAJVL,1672745063.908,1672745073.922,286792.58348628355,341532.0538093994,
Lizzie Feil,+210866605843,lizzie.feil@example.com,SN-5gjX8XuHSt,1672745083.934,1672745089.945,255065.87591905508,271483.32603687624,
Nadia Boyer,+210160193117,nadia.boyer@example.com,SN-eGxhM_LVPv,1672745085.939,1672745095.955,295796.7620233999,208155.78353960728,
Darby Goldner,+210092305115,darby.goldner@example.com,SN-tV68O_D5E1,1672745087.942,1672745101.963,254987.29654550037,294445.3306457164,
Laisha Powlowski,+210718988525,laisha.powlowski@example.com,SN-zz9ofG_26i,1672745162.052,1672745170.063,259555.72604655198,260246.17513829895,
Shaylee Ernser,+210139217453,shaylee.ernser@example.com,SN-wcNTqOQPiO,1672745134.015,1672745178.08,249825.81756576995,237990.5581262382,
Nora Weber,+210754351728,nora.weber@example.com,SN-985naGERN7,1672745134.015,1672745148.032,164503.0913692619,198444.97578900764,
Autumn Christiansen,+210768977664,autumn.christiansen@example.com,SN-aOCXRLQrPn,1672745148.032,1672745168.061,231080.36402937243,330167.60548176675,
Unique O'Keefe,+210668180839,unique.o'keefe@example.com,SN-EzXHp2s8uF,1672745170.063,1672745176.074,306842.89927800215,211332.3138142717,
Keven Hoppe,+210024054426,keven.hoppe@example.com,SN-CyNFJPpys1,1672745214.135,1672745220.142,250543.2226271777,262111.28915750235,
Jerad Zemlak,+210806441180,jerad.zemlak@example.com,SN-h-EHsm1QQo,1672745212.128,1672745222.144,299130.21287043666,286913.934890835,
Hank Kulas,+210666686131,hank.kulas@example.com,SN-DsAdYsSloZ,1672745264.239,1672745272.248,204335.56993195496,248445.3784204614,
Glenda Doyle,+210599038747,glenda.doyle@example.com,SN-1PEGiRvZR0,1672745246.208,1672745266.241,290512.76062681654,267755.5042236814,
Pasquale Cartwright,+210603778990,pasquale.cartwright@example.com,SN-YDzSHvYhXP,1672745270.244,1672745282.264,249810.23251689342,251404.46453224245,
Justus Cartwright,+210320165234,justus.cartwright@example.com,SN-9tslTTK-A2,1672745308.286,1672745320.314,259460.747088189,280861.5990492619,
Deshaun Runolfsdottir,+210481105814,deshaun.runolfsdottir@example.com,SN-wPvTbkJciO,1672745288.267,1672745298.276,180732.74072612752,320680.80779881356,
Janessa Predovic,+210610579495,janessa.predovic@example.com,SN-GNHEFMQPcG,1672745324.324,1672745334.336,318078.40501017414,296516.749046427,
Cameron Davis,+210364228040,cameron.davis@example.com,SN-zJXrRlzSTd,1672745348.352,1672745356.362,238750.25406432513,193333.9736610162,
Felipa Halvorson,+210574340352,felipa.halvorson@example.com,SN-y4CIWfxMxl,1672745368.379,1672745390.412,266610.34821204864,252450.4400619717,
Mara Metz,+210623899394,mara.metz@example.com,SN-bADwvoXPqP,1672745368.379,1672745378.391,207195.18712586816,190783.17254902972,
Breanna Zulauf,+210374475606,breanna.zulauf@example.com,SN-aQWwIQ86pc,1672745382.394,1672745390.412,278529.2471868044,266471.91276279034,
